frequency_hz,noise_v_per_sqrt_hz
1.000000000000000000e+00,5.216228369233847476e-08
1.258925411794167282e+00,4.697578553692000824e-08
1.584893192461113598e+00,4.240633444664232261e-08
1.995262314968879735e+00,3.839103963255203419e-08
2.511886431509580131e+00,3.487365433079451719e-08
3.162277660168379523e+00,3.180366732064235796e-08
3.981071705534973137e+00,2.913546718138212900e-08
5.011872336272723771e+00,2.682758689748707105e-08
6.309573444801933384e+00,2.484204375882303424e-08
7.943282347242815788e+00,2.314379383222512605e-08
1.000000000000000000e+01,2.170031889166608237e-08
1.258925411794167459e+01,2.048135490344987804e-08
1.584893192461114175e+01,1.945875577009095957e-08
1.995262314968879735e+01,1.860646791862491108e-08
2.511886431509580930e+01,1.790057632140301203e-08
3.162277660168379256e+01,1.731937589823055494e-08
3.981071705534973404e+01,1.684342604067650817e-08
5.011872336272725192e+01,1.645555826686599850e-08
6.309573444801932851e+01,1.614082308345915410e-08
7.943282347242816854e+01,1.588637703489546962e-08
1.000000000000000000e+02,1.568132137289456830e-08
1.258925411794167530e+02,1.551650881700219936e-08
1.584893192461114211e+02,1.538433533214889397e-08
1.995262314968880730e+02,1.527853137054349641e-08
2.511886431509582280e+02,1.519396325070708653e-08
3.162277660168379612e+02,1.512645147251730391e-08
3.981071705534973262e+02,1.507260946481311479e-08
5.011872336272724624e+02,1.502970378242439503e-08
6.309573444801936830e+02,1.499553510152781230e-08
7.943282347242821970e+02,1.496833836902030342e-08
1.000000000000000000e+03,1.494669997022754142e-08
1.258925411794167530e+03,1.492948962914709667e-08
1.584893192461114040e+03,1.491580481774954233e-08
1.995262314968880901e+03,1.490492563161816454e-08
2.511886431509582053e+03,1.489627832468176341e-08
3.162277660168379498e+03,1.488940594567298650e-08
3.981071705534973262e+03,1.488394475963537620e-08
5.011872336272725079e+03,1.487960535695561354e-08
6.309573444801936603e+03,1.487615754481362232e-08
7.943282347242821743e+03,1.487341828070966792e-08
1.000000000000000000e+04,1.487124204631206969e-08
1.258925411794168758e+04,1.486951317490525809e-08
1.584893192461114086e+04,1.486813974026744278e-08
1.995262314968878854e+04,1.486704869193636614e-08
2.511886431509582326e+04,1.486618198437777499e-08
3.162277660168379225e+04,1.486549349808152786e-08
3.981071705534977082e+04,1.486494659125244652e-08
5.011872336272725079e+04,1.486451215337638278e-08
6.309573444801942969e+04,1.486416705805648218e-08
7.943282347242820833e+04,1.486389293339045955e-08
1.000000000000000000e+05,1.486367518482558903e-08
1.258925411794168758e+05,1.486350221871911555e-08
1.584893192461114086e+05,1.486336482542267413e-08
1.995262314968883002e+05,1.486325568914296256e-08
2.511886431509582035e+05,1.486316899854347366e-08
3.162277660168379080e+05,1.486310013739227868e-08
3.981071705534977373e+05,1.486304543880825052e-08
5.011872336272724788e+05,1.486300199003510186e-08
6.309573444801942678e+05,1.486296747735731051e-08
7.943282347242821706e+05,1.486294006290577322e-08
1.000000000000000000e+06,1.486291828679684175e-08
