frequency_hz,noise_v_per_sqrt_hz
1.000000000000000000e+00,5.003312460360636728e-08
1.258925411794167282e+00,4.459971013819152204e-08
1.584893192461113598e+00,3.975810507054483605e-08
1.995262314968879735e+00,3.544406356032249193e-08
2.511886431509580131e+00,3.160033993462321872e-08
3.162277660168379523e+00,2.817592895792603470e-08
3.981071705534973137e+00,2.512538886221256143e-08
5.011872336272723771e+00,2.240823813561030339e-08
6.309573444801933384e+00,1.998841803933664115e-08
7.943282347242815788e+00,1.783381368492285780e-08
1.000000000000000000e+01,1.591582726722051109e-08
1.258925411794167459e+01,1.420899772260768422e-08
1.584893192461114175e+01,1.269066167384696669e-08
1.995262314968879735e+01,1.134065103981328321e-08
2.511886431509580930e+01,1.014102313567887933e-08
3.162277660168379256e+01,9.075819472874583852e-09
3.981071705534973404e+01,8.130849794931614825e-09
5.011872336272725192e+01,7.293498164407939775e-09
6.309573444801932851e+01,6.552548161709903667e-09
7.943282347242816854e+01,5.898024490865918941e-09
1.000000000000000000e+02,5.321048543285430754e-09
1.258925411794167530e+02,4.813705793679858516e-09
1.584893192461114211e+02,4.368923347004937487e-09
1.995262314968880730e+02,3.980356572052534453e-09
2.511886431509582280e+02,3.642284566564977253e-09
3.162277660168379612e+02,3.349515151543719960e-09
3.981071705534973262e+02,3.097301031345508407e-09
5.011872336272724624e+02,2.881269405561062190e-09
6.309573444801936830e+02,2.697367342642225707e-09
7.943282347242821970e+02,2.541824370306771556e-09
1.000000000000000000e+03,2.411132016294421137e-09
1.258925411794167530e+03,2.302037833488125615e-09
1.584893192461114040e+03,2.211549448056832913e-09
1.995262314968880901e+03,2.136943069917441679e-09
2.511886431509582053e+03,2.075771067912775334e-09
3.162277660168379498e+03,2.025864510534229948e-09
3.981071705534973262e+03,1.985328488658085058e-09
5.011872336272725079e+03,1.952529943110276672e-09
6.309573444801936603e+03,1.926079151570692495e-09
7.943282347242821743e+03,1.904806802000807187e-09
1.000000000000000000e+04,1.887738753111775246e-09
1.258925411794168758e+04,1.874070345179462736e-09
1.584893192461114086e+04,1.863141684392265647e-09
1.995262314968878854e+04,1.854414842586959660e-09
2.511886431509582326e+04,1.847453488626540316e-09
3.162277660168379225e+04,1.841905139116618424e-09
3.981071705534977082e+04,1.837485989276582117e-09
5.011872336272725079e+04,1.833968145272491424e-09
6.309573444801942969e+04,1.831169006348547805e-09
7.943282347242820833e+04,1.828942518313480010e-09
1.000000000000000000e+05,1.827172022552884833e-09
1.258925411794168758e+05,1.825764444244686039e-09
1.584893192461114086e+05,1.824645591234638927e-09
1.995262314968883002e+05,1.823756365538084045e-09
2.511886431509582035e+05,1.823049719361443471e-09
3.162277660168379080e+05,1.822488215092328442e-09
3.981071705534977373e+05,1.822042073081402222e-09
5.011872336272724788e+05,1.821687612020080156e-09
6.309573444801942678e+05,1.821406004432057697e-09
7.943282347242821706e+05,1.821182284541963683e-09
1.000000000000000000e+06,1.821004557929496269e-09
