frequency_hz,noise_v_per_sqrt_hz
1.000000000000000000e+00,5.163100480000000242e-08
1.258925410000000022e+00,4.638514039999999987e-08
1.584893190000000063e+00,4.175109599999999861e-08
1.995262309999999983e+00,3.766601580000000297e-08
2.511886430000000114e+00,3.407386950000000100e-08
3.162277659999999990e+00,3.092458690000000296e-08
3.981071710000000152e+00,2.817325450000000028e-08
5.011872340000000037e+00,2.577937619999999957e-08
6.309573440000000311e+00,2.370620079999999848e-08
7.943282349999999603e+00,2.192012800000000150e-08
1.000000000000000000e+01,2.039020989999999836e-08
1.258925409999999978e+01,1.908776359999999935e-08
1.584893190000000018e+01,1.798610560000000030e-08
1.995262310000000028e+01,1.706040639999999909e-08
2.511886429999999848e+01,1.628764720000000004e-08
3.162277660000000168e+01,1.564664820000000143e-08
3.981071709999999797e+01,1.511812889999999984e-08
5.011872340000000037e+01,1.468476140000000051e-08
6.309573439999999778e+01,1.433118940000000024e-08
7.943282349999999781e+01,1.404399499999999995e-08
1.000000000000000000e+02,1.381161320000000064e-08
1.258925409999999943e+02,1.362420149999999981e-08
1.584893189999999947e+02,1.347347739999999926e-08
1.995262309999999957e+02,1.335254059999999966e-08
2.511886430000000132e+02,1.325569080000000042e-08
3.162277659999999742e+02,1.317825310000000023e-08
3.981071709999999939e+02,1.311641630000000014e-08
5.011872339999999895e+02,1.306708900000000072e-08
6.309573440000000346e+02,1.302777389999999998e-08
7.943282349999999497e+02,1.299646000000000043e-08
1.000000000000000000e+03,1.297153270000000022e-08
1.258925410000000056e+03,1.295169800000000045e-08
1.584893190000000004e+03,1.293592100000000046e-08
1.995262310000000070e+03,1.292337519999999981e-08
2.511886430000000018e+03,1.291340110000000003e-08
3.162277660000000196e+03,1.290547280000000058e-08
3.981071710000000166e+03,1.289917170000000037e-08
5.011872339999999895e+03,1.289416440000000064e-08
6.309573440000000119e+03,1.289018549999999952e-08
7.943282350000000406e+03,1.288702409999999927e-08
1.000000000000000000e+04,1.288451239999999932e-08
1.258925410000000011e+04,1.288251690000000014e-08
1.584893189999999959e+04,1.288093159999999937e-08
1.995262310000000070e+04,1.287967219999999992e-08
2.511886430000000109e+04,1.287867180000000031e-08
3.162277660000000105e+04,1.287787700000000007e-08
3.981071710000000166e+04,1.287724570000000066e-08
5.011872340000000258e+04,1.287674419999999962e-08
6.309573440000000119e+04,1.287634580000000001e-08
7.943282349999999860e+04,1.287602940000000006e-08
1.000000000000000000e+05,1.287577799999999933e-08
1.258925409999999974e+05,1.287557840000000023e-08
1.584893189999999886e+05,1.287541969999999927e-08
1.995262309999999998e+05,1.287529380000000049e-08
2.511886430000000109e+05,1.287519370000000002e-08
3.162277660000000033e+05,1.287511419999999949e-08
3.981071709999999730e+05,1.287505099999999920e-08
5.011872339999999967e+05,1.287500089999999977e-08
6.309573440000000410e+05,1.287496100000000029e-08
7.943282349999999860e+05,1.287492940000000014e-08
1.000000000000000000e+06,1.287490430000000041e-08
