frequency_hz,noise_v_per_sqrt_hz
1.000000000000000000e+00,5.003314109999999907e-08
1.258925410000000022e+00,4.459972870000000021e-08
1.584893190000000063e+00,3.975812590000000314e-08
1.995262309999999983e+00,3.544408689999999919e-08
2.511886430000000114e+00,3.160036609999999765e-08
3.162277659999999990e+00,2.817595829999999860e-08
3.981071710000000152e+00,2.512542180000000044e-08
5.011872340000000037e+00,2.240827510000000121e-08
6.309573440000000311e+00,1.998845949999999928e-08
7.943282349999999603e+00,1.783386009999999949e-08
1.000000000000000000e+01,1.591587930000000127e-08
1.258925409999999978e+01,1.420905599999999970e-08
1.584893190000000018e+01,1.269072689999999992e-08
1.995262310000000028e+01,1.134072400000000014e-08
2.511886429999999848e+01,1.014110479999999994e-08
3.162277660000000168e+01,9.075910679999999660e-09
3.981071709999999797e+01,8.130951609999999448e-09
5.011872340000000037e+01,7.293611659999999954e-09
6.309573439999999778e+01,6.552674489999999815e-09
7.943282349999999781e+01,5.898164839999999878e-09
1.000000000000000000e+02,5.321204109999999685e-09
1.258925409999999943e+02,4.813877759999999872e-09
1.584893189999999947e+02,4.369112820000000176e-09
1.995262309999999957e+02,3.980564539999999704e-09
2.511886430000000132e+02,3.642511839999999995e-09
3.162277659999999742e+02,3.349762289999999883e-09
3.981071709999999939e+02,3.097568290000000123e-09
5.011872339999999895e+02,2.881556699999999904e-09
6.309573440000000346e+02,2.697674220000000034e-09
7.943282349999999497e+02,2.542150029999999880e-09
1.000000000000000000e+03,2.411475319999999863e-09
1.258925410000000056e+03,2.302397410000000074e-09
1.584893190000000004e+03,2.211923729999999812e-09
1.995262310000000070e+03,2.137330419999999907e-09
2.511886430000000018e+03,2.076169830000000150e-09
3.162277660000000196e+03,2.026273090000000193e-09
3.981071710000000166e+03,1.985745410000000122e-09
5.011872339999999895e+03,1.952953870000000037e-09
6.309573440000000119e+03,1.926508899999999855e-09
7.943282350000000406e+03,1.905241340000000106e-09
1.000000000000000000e+04,1.888177220000000011e-09
1.258925410000000011e+04,1.874512010000000033e-09
1.584893189999999959e+04,1.863585939999999877e-09
1.995262310000000070e+04,1.854861190000000072e-09
2.511886430000000109e+04,1.847901519999999945e-09
3.162277660000000105e+04,1.842354520000000026e-09
3.981071710000000166e+04,1.837936450000000072e-09
5.011872340000000258e+04,1.834419470000000079e-09
6.309573440000000119e+04,1.831621019999999921e-09
7.943282349999999860e+04,1.829395079999999910e-09
1.000000000000000000e+05,1.827625019999999969e-09
1.258925409999999974e+05,1.826217790000000006e-09
1.584893189999999886e+05,1.825099220000000077e-09
1.995262309999999998e+05,1.824210209999999954e-09
2.511886430000000109e+05,1.823503740000000075e-09
3.162277660000000033e+05,1.822942379999999966e-09
3.981071709999999730e+05,1.822496349999999936e-09
5.011872339999999967e+05,1.822141980000000007e-09
6.309573440000000410e+05,1.821860440000000051e-09
7.943282349999999860e+05,1.821636770000000013e-09
1.000000000000000000e+06,1.821459089999999911e-09
