frequency_hz,noise_v_per_sqrt_hz
1.000000000000000000e+00,5.093839790000000202e-08
1.258925410000000022e+00,4.561294729999999764e-08
1.584893190000000063e+00,4.089148739999999855e-08
1.995262309999999983e+00,3.671087660000000067e-08
2.511886430000000114e+00,3.301497090000000048e-08
3.162277659999999990e+00,2.975381979999999842e-08
3.981071710000000152e+00,2.688293109999999946e-08
5.011872340000000037e+00,2.436259340000000060e-08
6.309573440000000311e+00,2.215724880000000104e-08
7.943282349999999603e+00,2.023491360000000112e-08
1.000000000000000000e+01,1.856664689999999838e-08
1.258925409999999978e+01,1.712607469999999962e-08
1.584893190000000018e+01,1.588898089999999974e-08
1.995262310000000028e+01,1.483297630000000026e-08
2.511886429999999848e+01,1.393725830000000061e-08
3.162277660000000168e+01,1.318246250000000037e-08
3.981071709999999797e+01,1.255059910000000061e-08
5.011872340000000037e+01,1.202505449999999932e-08
6.309573439999999778e+01,1.159063010000000057e-08
7.943282349999999781e+01,1.123358859999999943e-08
1.000000000000000000e+02,1.094168070000000043e-08
1.258925409999999943e+02,1.070413860000000060e-08
1.584893189999999947e+02,1.051162740000000044e-08
1.995262309999999957e+02,1.035616040000000007e-08
2.511886430000000132e+02,1.023098509999999931e-08
3.162277659999999742e+02,1.013045270000000076e-08
3.981071709999999939e+02,1.004988030000000055e-08
5.011872339999999895e+02,9.985416019999999679e-09
6.309573440000000346e+02,9.933912139999999272e-09
7.943282349999999497e+02,9.892810059999999319e-09
1.000000000000000000e+03,9.860039419999999279e-09
1.258925410000000056e+03,9.833930949999999244e-09
1.584893190000000004e+03,9.813142749999999934e-09
1.995262310000000070e+03,9.796598669999999929e-09
2.511886430000000018e+03,9.783437289999999589e-09
3.162277660000000196e+03,9.772970209999999500e-09
3.981071710000000166e+03,9.764647920000000023e-09
5.011872339999999895e+03,9.758032230000000276e-09
6.309573440000000119e+03,9.752774000000000468e-09
7.943282350000000406e+03,9.748595219999999822e-09
1.000000000000000000e+04,9.745274620000000102e-09
1.258925410000000011e+04,9.742636160000000445e-09
1.584893189999999959e+04,9.740539860000000566e-09
1.995262310000000070e+04,9.738874380000000378e-09
2.511886430000000109e+04,9.737551239999999469e-09
3.162277660000000105e+04,9.736500099999999238e-09
3.981071710000000166e+04,9.735665079999999741e-09
5.011872340000000258e+04,9.735001740000000707e-09
6.309573440000000119e+04,9.734474800000000486e-09
7.943282349999999860e+04,9.734056220000000727e-09
1.000000000000000000e+05,9.733723710000000777e-09
1.258925409999999974e+05,9.733459589999999632e-09
1.584893189999999886e+05,9.733249780000000745e-09
1.995262309999999998e+05,9.733083119999999896e-09
2.511886430000000109e+05,9.732950740000000380e-09
3.162277660000000033e+05,9.732845579999999283e-09
3.981071709999999730e+05,9.732762049999999622e-09
5.011872339999999967e+05,9.732695700000000806e-09
6.309573440000000410e+05,9.732642990000000712e-09
7.943282349999999860e+05,9.732601129999999942e-09
1.000000000000000000e+06,9.732567870000000258e-09
